taxon6,taxon6_2,count,regulation
Trichosporon,Trichosporon,23,1
Piriformospora,Piriformospora,22,1
Stereum,Stereum,59,1
Heterobasidion,Heterobasidion,62,1
Gloeophyllum,Heterobasidion,32,1
Trametes,Trametes,179,1
Dichomitus,Trametes,77,1
Gelatoporia,Trametes,53,1
Gloeophyllum,Trametes,42,1
Fibroporia,Trametes,31,1
Phlebiopsis,Trametes,27,1
Fomitopsis,Trametes,25,1
Plicaturopsis,Trametes,23,1
Postia,Postia,45,1
Fibroporia,Fibroporia,57,1
Gelatoporia,Fibroporia,35,1
Trametes,Fibroporia,26,1
Gloeophyllum,Fibroporia,24,1
Dichomitus,Dichomitus,122,1
Trametes,Dichomitus,75,1
Gelatoporia,Dichomitus,42,1
Gloeophyllum,Dichomitus,40,1
Plicaturopsis,Dichomitus,34,1
Phanerochaete,Dichomitus,26,1
Fibroporia,Dichomitus,25,1
Fomitopsis,Dichomitus,24,1
Phlebiopsis,Phlebiopsis,53,1
Phanerochaete,Phlebiopsis,27,1
Dichomitus,Phlebiopsis,22,1
Gloeophyllum,Phlebiopsis,22,1
Phanerochaete,Phanerochaete,89,1
Phlebiopsis,Phanerochaete,49,1
Gloeophyllum,Phanerochaete,38,1
Trametes,Phanerochaete,37,1
Dichomitus,Phanerochaete,36,1
Gelatoporia,Phanerochaete,36,1
Serpula,Phanerochaete,27,1
Gelatoporia,Gelatoporia,205,1
Gloeophyllum,Gelatoporia,64,1
Trametes,Gelatoporia,58,1
Dichomitus,Gelatoporia,56,1
Phlebiopsis,Gelatoporia,43,1
Fomitopsis,Gelatoporia,36,1
Fibroporia,Gelatoporia,31,1
Stereum,Gelatoporia,28,1
Jaapia,Gelatoporia,26,1
Serpula,Gelatoporia,24,1
Heterobasidion,Gelatoporia,23,1
Phanerochaete,Gelatoporia,22,1
Fomitopsis,Fomitopsis,114,1
Trametes,Fomitopsis,55,1
Gelatoporia,Fomitopsis,50,1
Fibroporia,Fomitopsis,48,1
Dichomitus,Fomitopsis,44,1
Gloeophyllum,Fomitopsis,39,1
Jaapia,Fomitopsis,31,1
Phanerochaete,Fomitopsis,31,1
Serpula,Fomitopsis,26,1
Stereum,Fomitopsis,25,1
Postia,Fomitopsis,23,1
Heterobasidion,Fomitopsis,21,1
Gloeophyllum,Gloeophyllum,284,1
Jaapia,Gloeophyllum,59,1
Gelatoporia,Gloeophyllum,47,1
Dichomitus,Gloeophyllum,46,1
Trametes,Gloeophyllum,44,1
Stereum,Gloeophyllum,41,1
Punctularia,Gloeophyllum,38,1
Plicaturopsis,Gloeophyllum,34,1
Piloderma,Gloeophyllum,31,1
Fibroporia,Gloeophyllum,25,1
Fomitopsis,Gloeophyllum,24,1
Heterobasidion,Gloeophyllum,24,1
Pleurotus,Gloeophyllum,23,1
Serpula,Gloeophyllum,22,1
Punctularia,Punctularia,62,1
Gloeophyllum,Punctularia,30,1
Schizopora,Schizopora,22,1
Rhizoctonia,Rhizoctonia,95,1
Hebeloma,Rhizoctonia,21,0
Jaapia,Jaapia,77,1
Gloeophyllum,Jaapia,44,1
Dichomitus,Jaapia,23,1
Suillus,Suillus,23,1
Pisolithus,Pisolithus,51,1
Paxillus,Paxillus,59,1
Gelatoporia,Paxillus,21,1
Hydnomerulius,Hydnomerulius,24,1
Serpula,Serpula,232,1
Gloeophyllum,Serpula,69,1
Plicaturopsis,Serpula,54,1
Jaapia,Serpula,45,1
Trametes,Serpula,42,1
Heterobasidion,Serpula,35,1
Pisolithus,Serpula,34,1
Dichomitus,Serpula,31,1
Gelatoporia,Serpula,30,1
Coniophora,Serpula,27,1
Paxillus,Serpula,25,1
Phlebiopsis,Serpula,25,1
Suillus,Serpula,24,1
Laccaria,Serpula,23,1
Fomitopsis,Serpula,22,1
Moniliophthora,Serpula,21,1
Hebeloma,Serpula,66,0
Galerina,Serpula,24,0
Serpula,Serpula,21,0
Coniophora,Coniophora,22,1
Piloderma,Piloderma,57,1
Hebeloma,Piloderma,25,0
Plicaturopsis,Plicaturopsis,73,1
Gloeophyllum,Plicaturopsis,27,1
Hebeloma,Plicaturopsis,24,0
Pleurotus,Pleurotus,48,1
Hebeloma,Pleurotus,33,0
Amanita,Amanita,25,1
Schizophyllum,Schizophyllum,40,1
Hebeloma,Schizophyllum,22,0
Moniliophthora,Moniliophthora,146,1
Trametes,Moniliophthora,40,1
Gloeophyllum,Moniliophthora,38,1
Fibroporia,Moniliophthora,29,1
Gelatoporia,Moniliophthora,24,1
Laccaria,Moniliophthora,24,1
Punctularia,Moniliophthora,24,1
Heterobasidion,Moniliophthora,23,1
Pleurotus,Moniliophthora,21,1
Hebeloma,Moniliophthora,72,0
Galerina,Moniliophthora,30,0
Moniliophthora,Moniliophthora,25,0
Laccaria,Moniliophthora,21,0
Gymnopus,Gymnopus,27,1
Termitomyces,Termitomyces,22,1
Hebeloma,Termitomyces,23,0
Agaricus,Agaricus,61,1
Moniliophthora,Agaricus,37,1
Gloeophyllum,Agaricus,30,1
Hebeloma,Agaricus,62,0
Coprinopsis,Coprinopsis,42,1
Gloeophyllum,Coprinopsis,25,1
Serpula,Coprinopsis,23,1
Plicaturopsis,Coprinopsis,22,1
Hebeloma,Coprinopsis,59,0
Galerina,Coprinopsis,29,0
Coprinopsis,Coprinopsis,27,0
Laccaria,Laccaria,298,1
Gloeophyllum,Laccaria,74,1
Piloderma,Laccaria,55,1
Jaapia,Laccaria,54,1
Plicaturopsis,Laccaria,54,1
Moniliophthora,Laccaria,52,1
Trametes,Laccaria,48,1
Hebeloma,Laccaria,46,1
Amanita,Laccaria,37,1
Dichomitus,Laccaria,37,1
Gelatoporia,Laccaria,37,1
Heterobasidion,Laccaria,34,1
Serpula,Laccaria,28,1
Punctularia,Laccaria,26,1
Termitomyces,Laccaria,25,1
Fibroporia,Laccaria,23,1
Pleurotus,Laccaria,21,1
Hebeloma,Laccaria,520,0
Laccaria,Laccaria,231,0
Galerina,Laccaria,152,0
Hypholoma,Laccaria,81,0
Hebeloma,Hebeloma,26,1
Hebeloma,Hebeloma,1379,0
Galerina,Hebeloma,54,0
Hypholoma,Hebeloma,25,0
Hebeloma,Galerina,292,0
Galerina,Galerina,119,0
Hypholoma,Galerina,21,0
Hebeloma,Hypholoma,193,0
Hypholoma,Hypholoma,54,0
Galerina,Hypholoma,45,0
Pyronema,Tuber,50,1
Tuber,Tuber,45,1
Tuber,Tuber,3087,0
Pyronema,Tuber,2140,0
Dactylellina,Tuber,45,0
